측정소명,자치구,회차,수온(℃),DO(㎎/L),BOD(㎎/L),COD(㎎/L),TN(㎎/L),TP(㎎/L),TOC(㎎/L),수소이온농도,SS(㎎/L),pollution_score,날짜,cum_rainfall,flag
노량진,용산구,1,3.6,12.3,1.2,4.7,6.125,0.045,2.7,8.1,3.7,0,2018-01-02,0.0,0.0
가양,강서구,1,2.1,15.2,1.3,4.9,5.821,0.06,2.8,8.4,19.0,0,2018-01-03,0.0,0.0
고덕천,강동구,1,0.8,15.4,2.1,2.9,3.648,0.045,1.9,7.7,6.2,0,2018-01-04,0.0,0.0
목감천1,구로구,1,3.1,12.2,2.6,5.8,7.785,0.096,4.0,7.7,4.2,0,2018-01-04,0.0,0.0
성내천,강동구,1,1.7,13.0,2.4,3.4,3.675,0.061,2.4,7.6,2.8,0,2018-01-04,0.0,0.0
성북천,동대문구,1,3.9,11.9,1.8,3.2,4.223,0.036,1.6,7.6,11.8,0,2018-01-04,0.0,0.0
안양천10,양천구,1,3.0,12.0,2.2,6.3,11.322,0.066,5.4,7.7,4.4,1,2018-01-04,0.0,0.0
양재천2,강남구,1,0.6,14.2,1.8,3.9,7.14,0.049,2.4,7.9,1.8,0,2018-01-04,0.0,0.0
우이천,성북구,1,1.3,15.6,2.0,3.8,7.949,0.03,2.4,7.6,1.4,0,2018-01-04,0.0,0.0
정릉천,동대문구,1,5.6,13.7,1.2,1.8,6.299,0.025,1.0,8.0,1.4,0,2018-01-04,0.0,0.0
중랑천4,노원구,1,8.0,13.2,1.6,4.8,9.433,0.042,3.2,7.3,3.6,0,2018-01-04,0.0,0.0
중랑천5,동대문구,1,2.6,13.7,1.6,5.0,8.743,0.067,3.5,7.6,3.4,0,2018-01-04,0.0,0.0
중랑천6,성동구,1,9.9,10.8,4.3,6.8,15.049,0.138,4.6,7.2,6.0,0,2018-01-04,0.0,0.0
청계천1,중구,1,2.1,13.4,1.4,2.3,2.814,0.011,1.5,7.8,0.8,0,2018-01-04,0.0,0.0
청계천2,성동구,1,1.1,13.7,1.5,2.9,2.915,0.007,1.4,7.9,1.6,0,2018-01-04,0.0,0.0
청계천3,성동구,1,1.3,15.1,1.4,3.7,3.234,0.013,1.5,7.6,1.8,0,2018-01-04,0.0,0.0
탄천6,강남구,1,0.9,11.4,5.5,7.8,13.2,0.167,5.6,7.1,4.2,3,2018-01-04,0.0,0.0
홍제천,마포구,1,1.3,15.0,1.3,2.1,7.101,0.017,1.3,8.3,2.8,0,2018-01-04,0.0,0.0
감이천,송파구,1,4.7,12.9,2.3,4.2,3.826,0.095,2.5,8.0,10.0,0,2018-01-08,0.5,0.0
망월천,강동구,1,6.6,11.5,2.8,6.1,8.101,0.341,3.0,8.0,60.0,2,2018-01-08,0.5,0.0
목감천2,구로구,1,2.5,9.1,2.4,6.7,7.648,0.078,4.3,8.0,4.6,0,2018-01-08,0.5,0.0
안양천8,구로구,1,5.8,8.8,3.6,10.4,13.079,0.088,6.5,7.9,7.0,2,2018-01-08,0.5,0.0
양재천1,서초구,1,7.5,9.8,2.5,5.3,7.985,0.137,2.9,7.6,10.2,0,2018-01-08,0.5,0.0
초이천,강동구,1,4.1,12.3,1.4,2.7,3.151,0.017,1.5,8.3,2.4,0,2018-01-08,0.5,0.0
가양,강서구,2,2.6,13.1,0.8,5.0,5.628,0.031,2.4,8.0,3.0,0,2018-01-10,0.0,0.0
구의,강동구,2,1.7,15.4,1.1,4.0,3.695,0.035,2.0,8.0,3.5,0,2018-01-11,0.0,0.0
노량진,용산구,2,1.2,14.7,1.0,4.4,7.55,0.05,2.6,7.8,2.0,0,2018-01-11,0.0,0.0
안양천9,구로구,2,2.1,12.7,2.8,9.1,12.135,0.09,5.7,7.9,3.3,2,2018-01-11,0.0,0.0
중랑천3,도봉구,2,4.0,12.1,5.7,8.4,14.94,0.27,5.3,7.4,4.5,4,2018-01-11,0.0,0.0
노량진,용산구,3,1.8,13.7,1.2,4.4,6.105,0.036,2.6,8.1,2.1,0,2018-01-15,0.0,0.0
감이천,송파구,2,4.6,12.9,2.0,3.5,3.65,0.089,2.3,8.0,13.0,0,2018-01-16,0.0,0.0
망월천,강동구,2,7.0,11.1,2.9,12.2,10.53,0.433,3.3,7.8,49.0,3,2018-01-16,0.0,0.0
목감천2,구로구,2,3.0,7.6,3.0,8.9,11.313,0.089,4.5,8.1,7.7,1,2018-01-16,0.0,0.0
안양천8,구로구,2,6.0,9.0,3.9,9.2,11.443,0.078,5.9,8.1,5.3,2,2018-01-16,0.0,0.0
양재천1,서초구,2,7.7,7.5,2.2,4.3,7.374,0.109,2.9,7.5,4.4,0,2018-01-16,0.0,0.0
초이천,강동구,2,3.8,12.2,1.6,2.5,3.422,0.019,1.8,8.2,6.0,0,2018-01-16,0.0,0.0
뚝도,성동구,1,3.9,13.8,0.5,3.9,3.508,0.028,2.0,8.4,1.4,0,2018-01-17,0.0,0.0
보광,용산구,1,3.8,12.6,0.7,4.3,5.141,0.036,2.3,8.0,2.0,0,2018-01-17,0.0,0.0
암사,강동구,1,3.9,14.3,0.7,3.5,3.003,0.033,1.7,8.2,0.8,0,2018-01-17,0.0,0.0
영등포,영등포구,1,2.3,14.0,0.6,4.2,5.412,0.039,2.3,7.8,2.0,0,2018-01-17,0.0,0.0
잠실,송파구,1,3.2,14.8,0.9,4.3,2.701,0.05,1.9,8.3,13.8,0,2018-01-17,0.0,0.0
가양,강서구,3,1.7,13.3,0.7,4.4,5.748,0.048,2.5,7.7,2.4,0,2018-01-17,0.0,0.0
노량진,용산구,4,4.1,11.3,1.4,4.8,6.249,0.045,2.8,8.1,3.5,0,2018-01-22,3.0,0.0
가양,강서구,4,1.1,13.5,0.9,5.2,6.013,0.034,2.4,7.7,4.2,0,2018-01-24,0.0,0.0
노량진,용산구,5,1.6,10.0,1.2,4.8,6.54,0.051,2.7,8.2,2.3,0,2018-01-29,0.0,0.0
고덕천,강동구,1,2.5,14.3,1.7,2.8,3.842,0.025,1.7,7.7,7.0,0,2018-02-01,0.0,0.0
목감천1,구로구,1,2.6,11.2,3.3,5.0,7.219,0.091,4.1,7.3,4.0,0,2018-02-01,0.0,0.0
성내천,강동구,1,1.3,13.0,1.8,2.5,3.063,0.022,2.1,7.5,1.6,0,2018-02-01,0.0,0.0
성북천,동대문구,1,2.5,13.5,1.0,1.6,4.547,0.016,1.7,7.5,2.2,0,2018-02-01,0.0,0.0
안양천10,양천구,1,3.6,11.4,3.1,7.1,12.881,0.058,5.1,7.5,3.6,2,2018-02-01,0.0,0.0
양재천2,강남구,1,0.2,14.9,2.0,3.2,6.523,0.033,2.6,6.6,2.6,0,2018-02-01,0.0,0.0
우이천,성북구,1,10.7,11.8,1.6,2.1,7.335,0.01,2.0,7.3,1.6,0,2018-02-01,0.0,0.0
정릉천,동대문구,1,5.9,14.3,1.3,0.9,6.386,0.014,1.1,7.9,2.4,0,2018-02-01,0.0,0.0
중랑천4,노원구,1,7.4,13.5,4.5,6.2,9.888,0.126,4.1,7.4,3.7,0,2018-02-01,0.0,0.0
중랑천5,동대문구,1,2.6,14.3,1.8,3.9,9.002,0.05,3.4,7.7,2.6,0,2018-02-01,0.0,0.0
중랑천6,성동구,1,9.5,11.7,5.6,6.6,15.267,0.096,4.7,7.2,6.4,1,2018-02-01,0.0,0.0
청계천1,중구,1,1.9,13.6,2.0,1.6,2.639,0.005,1.8,7.8,2.2,0,2018-02-01,0.0,0.0
청계천2,성동구,1,0.5,13.7,2.2,1.5,2.663,0.006,1.8,7.8,0.8,0,2018-02-01,0.0,0.0
청계천3,성동구,1,0.4,16.2,2.4,2.1,3.077,0.015,1.9,7.8,1.6,0,2018-02-01,0.0,0.0
탄천6,강남구,1,6.7,11.9,5.5,7.8,12.762,0.133,5.3,7.2,6.4,3,2018-02-01,0.0,0.0
홍제천,마포구,1,1.7,15.0,2.0,1.8,7.858,0.018,1.6,8.1,1.2,0,2018-02-01,0.0,0.0
노량진,용산구,1,1.1,10.6,1.0,4.6,6.975,0.039,2.8,8.3,2.3,0,2018-02-05,0.0,0.0
감이천,송파구,1,0.6,14.7,2.0,3.8,3.616,0.103,2.3,8.0,4.0,0,2018-02-06,0.0,0.0
